feedback_id,faculty_id,course_id,course_name,week_number,student_id,rating,feedback_comment,sentiment_score,sentiment_label,teaching_clarity_score,engagement_score,pace_score,syllabus_coverage_perception,section,semester,program
1,341,CHM101,Engineering Chemistry,1,S1562,3,"Sometimes the pace is fast, but manageable overall. The examples used were memorable.",0.075,Neutral,2,2,5,1,C,1,B.Tech
2,341,CHM101,Engineering Chemistry,1,S1631,4,The pace of teaching is comfortable and structured. The teaching style influenced my learning positively.,0.824,Positive,3,3,5,4,C,1,B.Tech
3,341,CHM101,Engineering Chemistry,1,S1215,4,Amazing clarity and teaching methodology. The topic flow felt slightly abrupt.,0.419,Positive,5,4,4,3,A,1,B.Tech
4,341,CHM101,Engineering Chemistry,1,S3277,5,The classes are very clear and engaging. The teaching style influenced my learning positively.,0.729,Positive,4,4,5,3,B,1,B.Tech
5,341,CHM101,Engineering Chemistry,1,S1303,4,The professor motivates us and clears doubts patiently. The session coverage was appropriate.,0.314,Positive,4,4,5,5,C,1,B.Tech
6,341,CHM101,Engineering Chemistry,1,S2459,5,Concepts are broken down in a simple and logical manner. The teaching style influenced my learning positively.,1,Positive,5,5,5,4,C,1,B.Tech
7,341,CHM101,Engineering Chemistry,1,S0741,5,Amazing clarity and teaching methodology. The session covered important fundamentals.,0.835,Positive,5,4,5,5,C,1,B.Tech
8,341,CHM101,Engineering Chemistry,1,S1328,5,The sessions are well-organized and engaging. This is for the course Structural Analysis.,0.683,Positive,5,5,5,5,A,1,B.Tech
9,341,CHM101,Engineering Chemistry,1,S3932,2,The concepts were unclear and difficult to follow.,-0.448,Negative,2,2,2,2,A,1,B.Tech
10,341,CHM101,Engineering Chemistry,1,S1294,5,"One of the best courses, very well taught. The session coverage was appropriate.",0.723,Positive,4,5,5,4,A,1,B.Tech
11,341,CHM101,Engineering Chemistry,2,S1431,4,I enjoy attending this class; explanations are very crisp. The examples used were memorable.,0.698,Positive,3,5,4,3,B,1,B.Tech
12,341,CHM101,Engineering Chemistry,2,S0013,4,I enjoy attending this class; explanations are very crisp. This is for the course Structural Analysis.,0.578,Positive,3,4,4,5,B,1,B.Tech
13,341,CHM101,Engineering Chemistry,2,S2767,3,Teaching quality is acceptable but could be better. The session covered important fundamentals.,-0.048,Neutral,3,3,5,3,A,1,B.Tech
14,341,CHM101,Engineering Chemistry,2,S4391,5,"One of the best courses, very well taught. The topic flow felt slightly abrupt.",1,Positive,4,5,5,5,A,1,B.Tech
15,341,CHM101,Engineering Chemistry,2,S1288,5,Explains concepts very effectively with relatable examples. The class environment was encouraging.,0.964,Positive,5,5,3,5,A,1,B.Tech
16,341,CHM101,Engineering Chemistry,2,S0147,4,Interactive teaching style helps in understanding topics better. The topic flow felt slightly abrupt.,0.402,Positive,4,3,3,4,A,1,B.Tech
